,Survived,Pclass,Sex,Age,Family
1038,0,3,male,22.0,0
1039,0,1,male,,0
1040,0,2,male,30.0,2
1041,1,1,female,23.0,1
1042,0,3,male,,0
1043,0,3,male,60.5,0
1044,0,3,female,36.0,2
1045,0,3,male,13.0,6
1046,1,3,male,24.0,0
1047,1,1,female,29.0,0
1048,1,3,female,23.0,0
1049,0,1,male,42.0,0
1050,0,3,female,26.0,2
1051,1,3,female,,0
1052,1,3,male,7.0,2
1053,1,2,female,26.0,0
1054,0,3,male,,0
1055,0,2,male,41.0,0
1056,1,3,female,26.0,2
1057,0,1,male,48.0,0
1058,0,3,male,18.0,4
1059,1,1,female,,0
1060,1,3,female,22.0,0
1061,0,3,male,,0
1062,0,3,male,27.0,0
1063,0,3,male,23.0,1
1064,0,3,male,,0
1065,0,3,male,40.0,6
1066,1,2,female,15.0,2
1067,1,2,female,20.0,0
1068,1,1,male,54.0,1
1069,1,2,female,36.0,3
1070,1,1,female,64.0,2
1071,0,2,male,30.0,0
1072,0,1,male,37.0,2
1073,0,1,female,18.0,1
1074,0,3,male,,0
1075,1,1,female,27.0,2
1076,0,2,male,40.0,0
1077,1,2,female,21.0,1
1078,0,3,male,17.0,2
1079,1,3,female,,10
1080,0,2,male,40.0,0
1081,0,2,male,34.0,1
1082,1,1,male,,0
1083,0,3,male,11.5,2
1084,0,2,male,61.0,0
1085,1,2,male,8.0,2
1086,0,3,male,33.0,0
1087,1,1,male,6.0,2
1088,1,3,female,18.0,0
1089,0,2,male,23.0,0
1090,0,3,female,,0
1091,1,3,female,,0
1092,0,3,male,0.33,2
1093,0,1,male,47.0,1
1094,1,2,female,8.0,2
1095,0,2,male,25.0,0
1096,1,1,male,,0
1097,0,3,female,35.0,0
1098,1,2,male,24.0,0
1099,1,1,female,33.0,0
1100,0,3,male,25.0,0
1101,0,3,male,32.0,0
1102,1,3,male,,0
1103,0,2,male,17.0,0
1104,0,2,female,60.0,1
1105,0,3,female,38.0,6
1106,0,1,male,42.0,0
1107,0,3,female,,0
1108,0,1,male,57.0,2
1109,1,1,female,50.0,2
1110,0,3,male,,0
1111,1,2,female,30.0,1
1112,0,3,male,21.0,0
1113,1,2,female,22.0,0
1114,1,3,male,21.0,0
1115,1,1,female,53.0,0
1116,1,3,female,,2
1117,1,3,male,23.0,0
1118,0,3,female,,0
1119,0,3,male,40.5,0
1120,0,2,male,36.0,0
1121,0,2,male,14.0,0
1122,1,1,female,21.0,0
1123,0,3,male,21.0,1
1124,0,3,male,,0
1125,0,1,male,39.0,1
1126,0,3,male,20.0,0
1127,0,1,male,64.0,1
1128,0,3,male,20.0,0
1129,0,2,female,18.0,2
1130,1,1,female,48.0,1
1131,1,1,female,55.0,0
1132,1,2,female,45.0,2
1133,1,1,male,45.0,2
1134,1,3,male,,0
1135,0,3,male,,3
1136,0,1,male,41.0,1
1137,0,2,female,22.0,0
1138,0,2,male,42.0,2
1139,0,2,female,29.0,1
1140,0,3,female,,1
1141,1,2,female,0.92,3
1142,1,3,male,20.0,0
1143,0,1,male,27.0,1
1144,0,3,male,24.0,0
1145,0,3,male,32.5,0
1146,0,3,male,,0
1147,0,3,male,,0
1148,0,3,male,28.0,0
1149,1,2,female,19.0,0
1150,1,3,male,21.0,0
1151,1,3,male,36.5,1
1152,0,3,male,21.0,0
1153,1,2,female,29.0,2
1154,0,3,female,1.0,2
1155,1,2,male,30.0,0
1156,0,3,male,,0
1157,0,1,male,,0
1158,0,3,male,,0
1159,1,3,female,,0
1160,0,3,male,17.0,0
1161,0,1,male,46.0,0
1162,0,3,male,,0
1163,1,1,female,26.0,1
1164,0,3,female,,1
1165,0,3,male,,0
1166,1,2,female,20.0,1
1167,0,2,male,28.0,0
1168,0,2,male,40.0,1
1169,0,2,male,30.0,1
1170,1,2,male,22.0,0
1171,0,3,female,23.0,0
1172,0,3,male,0.75,2
1173,0,3,female,,0
1174,1,3,female,9.0,2
1175,0,3,female,2.0,2
1176,0,3,male,36.0,0
1177,0,3,male,,0
1178,1,1,male,24.0,1
1179,0,3,male,,0
1180,0,3,male,,0
1181,1,1,male,,0
1182,1,3,female,30.0,0
1183,0,3,male,,0
1184,1,1,male,53.0,2
1185,0,3,male,36.0,0
1186,0,3,male,26.0,0
1187,1,2,female,1.0,3
1188,0,3,male,,2
1189,0,1,male,30.0,0
1190,0,3,male,29.0,0
1191,1,3,male,32.0,0
1192,0,2,male,,0
1193,0,2,male,43.0,1
1194,0,3,male,24.0,0
1195,1,3,female,,0
1196,1,1,female,64.0,2
1197,0,1,male,30.0,3
1198,1,3,male,0.83,1
1199,0,1,male,55.0,2
1200,1,3,female,45.0,1
1201,0,3,male,18.0,0
1202,1,3,male,22.0,0
1203,0,3,male,,0
1204,0,3,female,37.0,0
1205,1,1,female,55.0,0
1206,0,3,female,17.0,0
1207,0,1,male,57.0,1
1208,0,2,male,19.0,0
1209,0,3,male,27.0,0
1210,0,2,male,22.0,2
1211,0,3,male,26.0,0
1212,1,3,male,25.0,0
1213,0,2,male,26.0,0
1214,0,1,male,33.0,0
1215,1,1,female,39.0,0
1216,0,3,male,23.0,0
1217,1,2,female,12.0,3
1218,0,1,male,46.0,0
1219,0,2,male,29.0,1
1220,0,2,male,21.0,0
1221,1,2,female,48.0,2
1222,0,1,male,39.0,0
1223,0,3,male,,0
1224,1,3,female,19.0,2
1225,0,3,male,27.0,0
1226,0,1,male,30.0,0
1227,0,2,male,32.0,0
1228,0,3,male,39.0,2
1229,0,2,male,25.0,0
1230,0,3,male,,0
1231,1,2,male,18.0,0
1232,1,3,male,32.0,0
1233,0,3,male,,10
1234,1,1,female,58.0,1
1235,0,3,male,,2
1236,1,3,female,16.0,0
1237,0,2,male,26.0,0
1238,1,3,female,38.0,0
1239,0,2,male,24.0,0
1240,1,2,female,31.0,0
1241,1,1,female,45.0,1
1242,0,2,male,25.0,0
1243,0,2,male,18.0,0
1244,0,2,male,49.0,3
1245,1,3,female,0.17,3
1246,0,1,male,50.0,0
1247,1,1,female,59.0,2
1248,0,3,male,,0
1249,1,3,male,,0
1250,0,3,female,30.0,1
1251,0,3,male,14.5,10
1252,0,2,female,24.0,2
1253,1,2,female,31.0,0
1254,0,3,male,27.0,0
1255,1,1,female,25.0,1
1256,0,3,female,,10
1257,0,3,male,,1
1258,0,3,female,22.0,0
1259,1,1,female,45.0,1
1260,1,2,male,29.0,0
1261,0,2,male,21.0,1
1262,1,1,female,31.0,0
1263,1,1,male,49.0,0
1264,0,2,male,44.0,0
1265,1,1,female,54.0,2
1266,1,1,female,45.0,0
1267,0,3,female,22.0,2
1268,0,2,male,21.0,0
1269,0,1,male,55.0,0
1270,0,3,male,5.0,6
1271,1,3,male,,0
1272,0,3,male,26.0,0
1273,0,3,female,,0
1274,0,3,female,19.0,1
1275,0,2,male,,0
1276,1,2,female,24.0,3
1277,0,3,male,24.0,0
1278,0,2,male,57.0,0
1279,0,3,male,21.0,0
1280,0,3,male,6.0,4
1281,0,1,male,23.0,0
1282,1,1,female,51.0,1
1283,0,3,male,13.0,2
1284,0,2,male,47.0,0
1285,1,3,male,29.0,4
1286,1,1,female,18.0,1
1287,0,3,male,24.0,0
1288,1,1,female,48.0,2
1289,0,3,male,22.0,0
1290,0,3,male,31.0,0
1291,1,1,female,30.0,0
1292,0,2,male,38.0,1
1293,1,1,female,22.0,1
1294,0,1,male,17.0,0
1295,1,1,male,43.0,1
1296,1,2,male,20.0,0
1297,0,2,male,23.0,1
1298,0,1,male,50.0,2
1299,1,3,female,,0
1300,0,3,female,3.0,2
1301,0,3,female,,0
1302,1,1,female,37.0,1
1303,0,3,female,28.0,0
1304,0,3,male,,0
1305,1,1,female,39.0,0
1306,0,3,male,38.5,0
1307,0,3,male,,0
1308,1,3,male,,2
